status,duration,credit_history,purpose,credit_amount,saving_accounts,employment,investment_as_income_percentage,Personal status and sex,debtors,residence,property,age,installment_plans,housing,number_of_credits,job,dependent,telephone,foreign_worker
...<0 DM,21,Paid Credits,new car,1647,unknown/ no savings account,4,4,male:single,none,2,life insurance,40,none,own,2,unskilled-resident,2,none,yes
no checking account,24,Critical,furniture/equipment,3777,.. >= 1000 DM,4,4,male:single,none,4,real estate,50,none,own,1,skilled employee/official,1,yes,yes
0 <= ...<200 DM,18,Critical,new car,884,... < 100 DM,7+,4,male:single,none,4,car or other,36,bank,own,1,skilled employee/official,2,yes,yes
no checking account,15,Critical,radio/television,1360,... < 100 DM,4,4,male:single,none,2,life insurance,31,none,own,2,skilled employee/official,1,none,yes
0 <= ...<200 DM,9,Paid Credits,used car,5129,... < 100 DM,7+,2,female:divorced/separated/married,none,4,no property,74,bank,free,1,highly skilled,2,yes,yes
0 <= ...<200 DM,16,Critical,new car,1175,... < 100 DM,unemployed,2,male:single,none,3,car or other,68,none,free,3,unemployed/unskilled-non resident,1,yes,yes
...<0 DM,12,Existing Credits,radio/television,674,100 <= ... < 500 DM,7,4,male:married/widowed,none,1,life insurance,20,none,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,18,No Credits,furniture/equipment,3244,... < 100 DM,4,1,female:divorced/separated/married,none,4,car or other,33,bank,own,2,skilled employee/official,1,yes,yes
no checking account,24,Existing Credits,business,4591,.. >= 1000 DM,4,2,male:single,none,3,life insurance,54,none,own,3,highly skilled,1,yes,yes
0 <= ...<200 DM,48,No Credits,business,3844,100 <= ... < 500 DM,7,4,male:single,none,4,no property,34,none,free,1,unskilled-resident,2,none,yes
0 <= ...<200 DM,27,Existing Credits,business,3915,... < 100 DM,4,4,male:single,none,2,car or other,36,none,own,1,skilled employee/official,2,yes,yes
no checking account,6,Existing Credits,radio/television,2108,... < 100 DM,7,2,male:married/widowed,none,2,real estate,29,none,rent,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,45,Existing Credits,radio/television,3031,100 <= ... < 500 DM,4,4,male:single,guarantor,4,life insurance,21,none,rent,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,9,Critical,education,1501,... < 100 DM,7+,2,female:divorced/separated/married,none,3,car or other,34,none,own,2,highly skilled,1,yes,yes
no checking account,6,Critical,radio/television,1382,... < 100 DM,4,1,female:divorced/separated/married,none,1,car or other,28,none,own,2,skilled employee/official,1,yes,yes
0 <= ...<200 DM,12,Existing Credits,furniture/equipment,951,100 <= ... < 500 DM,1,4,female:divorced/separated/married,none,4,car or other,27,bank,rent,4,skilled employee/official,1,none,yes
0 <= ...<200 DM,24,Existing Credits,used car,2760,unknown/ no savings account,7+,4,male:single,none,4,no property,36,bank,free,1,skilled employee/official,1,yes,yes
0 <= ...<200 DM,18,Delay in Past,furniture/equipment,4297,... < 100 DM,7+,4,male:divorced/separated,none,3,no property,40,none,own,1,highly skilled,1,yes,yes
no checking account,9,Critical,education,936,500 <= ... < 1000 DM,7+,4,male:single,none,2,car or other,52,none,own,2,skilled employee/official,1,yes,yes
...<0 DM,12,Existing Credits,new car,1168,... < 100 DM,4,4,male:married/widowed,none,3,real estate,27,none,own,1,unskilled-resident,1,none,yes
no checking account,27,Delay in Past,business,5117,... < 100 DM,7,3,male:single,none,4,car or other,26,none,own,2,skilled employee/official,1,none,yes
...<0 DM,12,Existing Credits,retraining,902,... < 100 DM,7,4,male:married/widowed,none,4,life insurance,21,none,rent,1,skilled employee/official,1,none,yes
no checking account,12,Critical,new car,1495,... < 100 DM,7+,4,male:single,none,1,real estate,38,none,own,2,unskilled-resident,2,none,yes
...<0 DM,30,Critical,used car,10623,... < 100 DM,7+,3,male:single,none,4,no property,38,none,free,3,highly skilled,2,yes,yes
no checking account,12,Critical,furniture/equipment,1935,... < 100 DM,7+,4,male:single,none,4,real estate,43,none,own,3,skilled employee/official,1,yes,yes
0 <= ...<200 DM,12,Critical,domestic appliances,1424,... < 100 DM,7,4,male:single,none,3,life insurance,26,none,own,1,skilled employee/official,1,none,yes
...<0 DM,24,Existing Credits,business,6568,... < 100 DM,4,2,male:married/widowed,none,2,car or other,21,store,own,1,unskilled-resident,1,none,yes
no checking account,12,Existing Credits,used car,1413,.. >= 1000 DM,7,3,male:single,none,2,life insurance,55,none,own,1,skilled employee/official,1,none,no
no checking account,9,Critical,radio/television,3074,unknown/ no savings account,4,1,male:single,none,2,real estate,33,none,own,2,skilled employee/official,2,none,yes
no checking account,36,Existing Credits,radio/television,3835,unknown/ no savings account,7+,2,female:divorced/separated/married,none,4,real estate,45,none,own,1,unskilled-resident,1,yes,yes
...<0 DM,27,No Credits,business,5293,... < 100 DM,unemployed,2,male:single,none,4,life insurance,50,store,own,2,skilled employee/official,1,yes,yes
... >= 200 DM ,30,Delay in Past,business,1908,... < 100 DM,7+,4,male:single,none,4,real estate,66,none,own,1,highly skilled,1,yes,yes
no checking account,36,Critical,radio/television,3342,unknown/ no savings account,7+,4,male:single,none,2,car or other,51,none,own,1,skilled employee/official,1,yes,yes
0 <= ...<200 DM,6,Critical,retraining,932,unknown/ no savings account,7,1,female:divorced/separated/married,none,3,life insurance,39,none,own,2,unskilled-resident,1,none,yes
...<0 DM,18,No Credits,business,3104,... < 100 DM,7,3,male:single,none,1,life insurance,31,bank,own,1,skilled employee/official,1,yes,yes
... >= 200 DM ,36,Existing Credits,radio/television,3913,... < 100 DM,4,2,male:single,none,2,real estate,23,none,own,1,skilled employee/official,1,yes,yes
...<0 DM,24,Existing Credits,furniture/equipment,3021,... < 100 DM,4,2,male:divorced/separated,none,2,real estate,24,none,rent,1,unskilled-resident,1,none,yes
no checking account,10,Existing Credits,new car,1364,... < 100 DM,4,2,female:divorced/separated/married,none,4,car or other,64,none,own,1,skilled employee/official,1,yes,yes
0 <= ...<200 DM,12,Existing Credits,radio/television,625,... < 100 DM,1,4,male:married/widowed,guarantor,1,real estate,26,bank,own,1,unskilled-resident,1,none,yes
...<0 DM,12,Existing Credits,education,1200,unknown/ no savings account,4,4,female:divorced/separated/married,none,4,life insurance,23,bank,rent,1,skilled employee/official,1,yes,yes
no checking account,12,Existing Credits,radio/television,707,... < 100 DM,4,4,male:single,none,2,real estate,30,bank,own,2,skilled employee/official,1,none,yes
no checking account,24,Delay in Past,business,2978,unknown/ no savings account,4,4,male:single,none,4,real estate,32,none,own,2,skilled employee/official,2,yes,yes
no checking account,15,Existing Credits,used car,4657,... < 100 DM,4,3,male:single,none,2,car or other,30,none,own,1,skilled employee/official,1,yes,yes
no checking account,36,No Credits,repairs,2613,... < 100 DM,4,4,male:single,none,2,car or other,27,none,own,2,skilled employee/official,1,none,yes
0 <= ...<200 DM,48,Existing Credits,radio/television,10961,.. >= 1000 DM,7,1,male:single,co-applicant,2,no property,27,bank,own,2,skilled employee/official,1,yes,yes
...<0 DM,12,Existing Credits,furniture/equipment,7865,... < 100 DM,7+,4,male:single,none,4,no property,53,none,free,1,highly skilled,1,yes,yes
no checking account,9,Existing Credits,radio/television,1478,... < 100 DM,7,4,male:single,none,2,car or other,22,none,own,1,skilled employee/official,1,none,yes
...<0 DM,24,Existing Credits,furniture/equipment,3149,... < 100 DM,1,4,male:single,none,1,no property,22,bank,free,1,skilled employee/official,1,none,yes
... >= 200 DM ,36,Existing Credits,radio/television,4210,... < 100 DM,4,4,male:single,none,2,car or other,26,none,own,1,skilled employee/official,1,none,yes
no checking account,9,Existing Credits,new car,2507,500 <= ... < 1000 DM,7+,2,male:single,none,4,no property,51,none,free,1,unskilled-resident,1,none,yes
no checking account,12,Existing Credits,radio/television,2141,100 <= ... < 500 DM,7,3,male:single,none,1,no property,35,none,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,18,Existing Credits,radio/television,866,... < 100 DM,4,4,male:married/widowed,guarantor,2,real estate,25,none,own,1,unskilled-resident,1,none,yes
no checking account,4,Critical,radio/television,1544,... < 100 DM,7,2,male:single,none,1,real estate,42,none,own,3,unskilled-resident,2,none,yes
...<0 DM,24,Existing Credits,radio/television,1823,... < 100 DM,unemployed,4,male:single,none,2,car or other,30,store,own,1,highly skilled,2,none,yes
0 <= ...<200 DM,6,Existing Credits,new car,14555,unknown/ no savings account,unemployed,1,male:single,none,2,life insurance,23,none,own,1,unemployed/unskilled-non resident,1,yes,yes
0 <= ...<200 DM,21,Existing Credits,business,2767,100 <= ... < 500 DM,7+,4,male:divorced/separated,none,2,car or other,61,bank,rent,2,unskilled-resident,1,none,yes
no checking account,12,Critical,radio/television,1291,... < 100 DM,4,4,female:divorced/separated/married,none,2,life insurance,35,none,own,2,skilled employee/official,1,none,yes
...<0 DM,30,Existing Credits,radio/television,2522,... < 100 DM,7+,1,male:single,guarantor,3,life insurance,39,none,own,1,skilled employee/official,2,none,yes
...<0 DM,24,Existing Credits,new car,915,unknown/ no savings account,7+,4,female:divorced/separated/married,none,2,car or other,29,bank,own,1,skilled employee/official,1,none,yes
no checking account,6,Existing Credits,radio/television,1595,... < 100 DM,7,3,male:single,none,2,life insurance,51,none,own,1,skilled employee/official,2,none,yes
...<0 DM,48,No Credits,used car,4605,... < 100 DM,7+,3,male:single,none,4,no property,24,none,free,2,skilled employee/official,2,none,yes
no checking account,12,Critical,business,1185,... < 100 DM,4,3,female:divorced/separated/married,none,2,real estate,27,none,own,2,skilled employee/official,1,none,yes
no checking account,12,Paid Credits,retraining,3447,500 <= ... < 1000 DM,4,4,female:divorced/separated/married,none,3,real estate,35,none,own,1,unskilled-resident,2,none,yes
no checking account,24,Existing Credits,business,1258,... < 100 DM,7,4,male:single,none,1,real estate,25,none,own,1,skilled employee/official,1,yes,yes
no checking account,12,Critical,radio/television,717,... < 100 DM,7+,4,male:single,none,4,real estate,52,none,own,3,skilled employee/official,1,none,yes
no checking account,6,No Credits,new car,1204,100 <= ... < 500 DM,4,4,male:single,none,1,no property,35,bank,rent,1,skilled employee/official,1,none,no
... >= 200 DM ,24,Existing Credits,furniture/equipment,1925,... < 100 DM,4,2,male:single,none,2,real estate,26,none,own,1,skilled employee/official,1,none,yes
no checking account,18,Existing Credits,radio/television,433,... < 100 DM,unemployed,3,female:divorced/separated/married,co-applicant,4,real estate,22,none,rent,1,skilled employee/official,1,none,yes
...<0 DM,6,Critical,new car,666,.. >= 1000 DM,7,3,female:divorced/separated/married,none,4,real estate,39,none,own,2,unskilled-resident,1,yes,yes
... >= 200 DM ,12,Existing Credits,furniture/equipment,2251,... < 100 DM,4,1,female:divorced/separated/married,none,2,car or other,46,none,own,1,unskilled-resident,1,none,yes
0 <= ...<200 DM,30,Existing Credits,new car,2150,... < 100 DM,4,4,female:divorced/separated/married,guarantor,2,no property,24,bank,own,1,skilled employee/official,1,none,yes
no checking account,24,Delay in Past,furniture/equipment,4151,100 <= ... < 500 DM,4,2,male:single,none,3,life insurance,35,none,own,2,skilled employee/official,1,none,yes
0 <= ...<200 DM,9,Existing Credits,furniture/equipment,2030,unknown/ no savings account,7,2,male:single,none,1,car or other,24,none,own,1,skilled employee/official,1,yes,yes
0 <= ...<200 DM,60,Delay in Past,radio/television,7418,unknown/ no savings account,4,1,male:single,none,1,real estate,27,none,own,1,unskilled-resident,1,none,yes
no checking account,24,Critical,radio/television,2684,... < 100 DM,4,4,male:single,none,2,real estate,35,none,own,2,unskilled-resident,1,none,yes
...<0 DM,12,Paid Credits,radio/television,2149,... < 100 DM,4,4,male:divorced/separated,none,1,no property,29,none,free,1,skilled employee/official,1,none,yes
no checking account,15,Existing Credits,used car,3812,100 <= ... < 500 DM,1,1,female:divorced/separated/married,none,4,car or other,23,none,own,1,skilled employee/official,1,yes,yes
no checking account,11,Critical,radio/television,1154,100 <= ... < 500 DM,unemployed,4,female:divorced/separated/married,none,4,real estate,57,none,own,3,unskilled-resident,1,none,yes
...<0 DM,12,Existing Credits,furniture/equipment,1657,... < 100 DM,4,2,male:single,none,2,real estate,27,none,own,1,skilled employee/official,1,none,yes
...<0 DM,24,Existing Credits,radio/television,1603,... < 100 DM,7+,4,female:divorced/separated/married,none,4,car or other,55,none,own,1,skilled employee/official,1,none,yes
...<0 DM,18,Critical,new car,5302,... < 100 DM,7+,2,male:single,none,4,no property,36,none,free,3,highly skilled,1,yes,yes
no checking account,12,Critical,education,2748,... < 100 DM,7+,2,female:divorced/separated/married,none,4,no property,57,bank,free,3,unskilled-resident,1,none,yes
no checking account,10,Critical,new car,1231,... < 100 DM,7+,3,male:single,none,4,real estate,32,none,own,2,unskilled-resident,2,none,no
0 <= ...<200 DM,15,Existing Credits,radio/television,802,... < 100 DM,7+,4,male:single,none,3,car or other,37,none,own,1,skilled employee/official,2,none,yes
no checking account,36,Critical,business,6304,unknown/ no savings account,7+,4,male:single,none,4,real estate,36,none,own,2,skilled employee/official,1,none,yes
no checking account,24,Existing Credits,radio/television,1533,... < 100 DM,1,4,female:divorced/separated/married,none,3,car or other,38,store,own,1,skilled employee/official,1,yes,yes
...<0 DM,14,Existing Credits,new car,8978,... < 100 DM,7+,1,male:divorced/separated,none,4,life insurance,45,none,own,1,highly skilled,1,yes,no
no checking account,24,Existing Credits,radio/television,999,unknown/ no savings account,7+,4,male:single,none,2,car or other,25,none,own,2,skilled employee/official,1,none,yes
no checking account,18,Existing Credits,new car,2662,unknown/ no savings account,7,4,male:single,none,3,life insurance,32,none,own,1,skilled employee/official,1,none,no
no checking account,12,Critical,furniture/equipment,1402,500 <= ... < 1000 DM,7,3,female:divorced/separated/married,none,4,car or other,37,none,rent,1,skilled employee/official,1,yes,yes
0 <= ...<200 DM,48,Paid Credits,new car,12169,unknown/ no savings account,unemployed,4,male:single,co-applicant,4,no property,36,none,free,1,highly skilled,1,yes,yes
0 <= ...<200 DM,48,Existing Credits,radio/television,3060,... < 100 DM,7,4,male:single,none,4,real estate,28,none,own,2,skilled employee/official,1,none,yes
...<0 DM,30,Existing Credits,repairs,11998,... < 100 DM,1,1,male:divorced/separated,none,1,no property,34,none,own,1,unskilled-resident,1,yes,yes
no checking account,9,Existing Credits,radio/television,2697,... < 100 DM,4,1,male:single,none,2,real estate,32,none,own,1,skilled employee/official,2,none,yes
no checking account,18,Critical,radio/television,2404,... < 100 DM,4,2,female:divorced/separated/married,none,2,car or other,26,none,own,2,skilled employee/official,1,none,yes
...<0 DM,12,Existing Credits,furniture/equipment,1262,unknown/ no savings account,7+,2,male:divorced/separated,none,4,life insurance,49,none,own,1,unskilled-resident,1,yes,yes
no checking account,6,Existing Credits,furniture/equipment,4611,... < 100 DM,1,1,female:divorced/separated/married,none,4,life insurance,32,none,own,1,skilled employee/official,1,none,yes
no checking account,24,Existing Credits,radio/television,1901,100 <= ... < 500 DM,4,4,male:single,none,4,car or other,29,none,rent,1,highly skilled,1,yes,yes
no checking account,15,Critical,used car,3368,.. >= 1000 DM,7+,3,male:single,none,4,no property,23,none,rent,2,skilled employee/official,1,yes,yes
no checking account,12,Existing Credits,furniture/equipment,1574,... < 100 DM,4,4,male:single,none,2,real estate,50,none,own,1,skilled employee/official,1,none,yes
... >= 200 DM ,18,Paid Credits,radio/television,1445,unknown/ no savings account,7,4,male:single,none,4,car or other,49,bank,own,1,unskilled-resident,1,none,yes
no checking account,15,Critical,furniture/equipment,1520,unknown/ no savings account,7+,4,male:single,none,4,life insurance,63,none,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,24,Critical,new car,3878,100 <= ... < 500 DM,1,4,male:divorced/separated,none,2,car or other,37,none,own,1,skilled employee/official,1,yes,yes
...<0 DM,47,Existing Credits,new car,10722,... < 100 DM,1,1,female:divorced/separated/married,none,1,real estate,35,none,own,1,unskilled-resident,1,yes,yes
...<0 DM,48,Existing Credits,used car,4788,... < 100 DM,7,4,male:single,none,3,life insurance,26,none,own,1,skilled employee/official,2,none,yes
0 <= ...<200 DM,48,Delay in Past,others,7582,100 <= ... < 500 DM,unemployed,2,male:single,none,4,no property,31,none,free,1,highly skilled,1,yes,yes
0 <= ...<200 DM,12,Existing Credits,radio/television,1092,... < 100 DM,4,4,female:divorced/separated/married,guarantor,4,real estate,49,none,own,2,skilled employee/official,1,yes,yes
...<0 DM,24,Delay in Past,radio/television,1024,... < 100 DM,1,4,male:married/widowed,none,4,real estate,48,store,own,1,skilled employee/official,1,none,yes
no checking account,12,Existing Credits,business,1076,... < 100 DM,4,2,male:married/widowed,none,2,real estate,26,none,own,1,skilled employee/official,1,yes,no
0 <= ...<200 DM,36,Existing Credits,used car,9398,... < 100 DM,1,1,male:married/widowed,none,4,car or other,28,none,rent,1,highly skilled,1,yes,yes
...<0 DM,24,Critical,used car,6419,... < 100 DM,7+,2,female:divorced/separated/married,none,4,no property,44,none,free,2,highly skilled,2,yes,yes
... >= 200 DM ,42,Critical,used car,4796,... < 100 DM,7+,4,male:single,none,4,no property,56,none,free,1,skilled employee/official,1,none,yes
no checking account,48,Critical,business,7629,unknown/ no savings account,7+,4,male:divorced/separated,none,2,car or other,46,bank,own,2,highly skilled,2,none,yes
0 <= ...<200 DM,48,Existing Credits,furniture/equipment,9960,... < 100 DM,1,1,female:divorced/separated/married,none,2,car or other,26,none,own,1,skilled employee/official,1,yes,yes
no checking account,12,Existing Credits,used car,4675,unknown/ no savings account,1,1,female:divorced/separated/married,none,4,car or other,20,none,rent,1,skilled employee/official,1,none,yes
no checking account,10,Existing Credits,new car,1287,unknown/ no savings account,7+,4,male:single,co-applicant,2,life insurance,45,none,own,1,unskilled-resident,1,none,no
no checking account,18,Existing Credits,furniture/equipment,2515,... < 100 DM,4,3,male:single,none,4,real estate,43,none,own,1,skilled employee/official,1,yes,yes
0 <= ...<200 DM,21,Critical,furniture/equipment,2745,.. >= 1000 DM,7,3,male:single,none,2,car or other,32,none,own,2,skilled employee/official,1,yes,yes
no checking account,6,Existing Credits,new car,672,... < 100 DM,unemployed,1,female:divorced/separated/married,none,4,real estate,54,none,own,1,unemployed/unskilled-non resident,1,yes,yes
0 <= ...<200 DM,36,No Credits,radio/television,3804,... < 100 DM,4,4,female:divorced/separated/married,none,1,car or other,42,none,own,1,skilled employee/official,1,yes,yes
... >= 200 DM ,24,Critical,new car,1344,unknown/ no savings account,7,4,male:single,none,2,real estate,37,bank,own,2,unskilled-resident,2,none,yes
...<0 DM,10,Critical,new car,1038,... < 100 DM,7,4,male:single,co-applicant,3,life insurance,49,none,own,2,skilled employee/official,1,yes,yes
no checking account,48,Critical,new car,10127,500 <= ... < 1000 DM,4,2,male:single,none,2,no property,44,bank,free,1,skilled employee/official,1,none,yes
no checking account,6,Existing Credits,furniture/equipment,1543,.. >= 1000 DM,4,4,male:divorced/separated,none,2,real estate,33,none,own,1,skilled employee/official,1,none,yes
no checking account,30,Existing Credits,used car,4811,unknown/ no savings account,7,2,female:divorced/separated/married,none,4,life insurance,24,store,rent,1,unskilled-resident,1,none,yes
...<0 DM,12,Existing Credits,radio/television,727,100 <= ... < 500 DM,1,4,male:married/widowed,none,3,no property,33,none,own,1,unskilled-resident,1,yes,yes
0 <= ...<200 DM,8,Existing Credits,furniture/equipment,1237,... < 100 DM,4,3,female:divorced/separated/married,none,4,real estate,24,none,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,9,Existing Credits,new car,276,... < 100 DM,4,4,male:married/widowed,none,4,real estate,22,none,rent,1,unskilled-resident,1,none,yes
0 <= ...<200 DM,48,Existing Credits,others,5381,unknown/ no savings account,unemployed,3,male:single,none,4,no property,40,bank,free,1,unemployed/unskilled-non resident,1,yes,yes
no checking account,24,Existing Credits,furniture/equipment,5511,100 <= ... < 500 DM,4,4,male:single,none,1,car or other,25,store,own,1,skilled employee/official,1,none,yes
... >= 200 DM ,24,Existing Credits,furniture/equipment,3749,... < 100 DM,1,2,female:divorced/separated/married,none,4,car or other,26,none,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,12,Existing Credits,new car,685,... < 100 DM,7,2,male:married/widowed,none,3,car or other,25,bank,own,1,unskilled-resident,1,none,yes
... >= 200 DM ,4,Existing Credits,new car,1494,unknown/ no savings account,1,1,male:single,none,2,real estate,29,none,own,1,unskilled-resident,2,none,no
...<0 DM,36,Paid Credits,furniture/equipment,2746,... < 100 DM,7+,4,male:single,none,4,car or other,31,bank,own,1,skilled employee/official,1,none,yes
...<0 DM,12,Existing Credits,furniture/equipment,708,... < 100 DM,4,2,male:single,guarantor,3,life insurance,38,none,own,1,unskilled-resident,2,none,yes
0 <= ...<200 DM,24,Existing Credits,furniture/equipment,4351,unknown/ no savings account,4,1,female:divorced/separated/married,none,4,life insurance,48,none,own,1,unskilled-resident,1,yes,yes
no checking account,12,Critical,education,701,... < 100 DM,4,4,male:single,none,2,car or other,32,none,own,2,skilled employee/official,1,none,yes
...<0 DM,15,Delay in Past,furniture/equipment,3643,... < 100 DM,7+,1,female:divorced/separated/married,none,4,life insurance,27,none,own,2,unskilled-resident,1,none,yes
0 <= ...<200 DM,30,Critical,new car,4249,... < 100 DM,unemployed,4,male:married/widowed,none,2,car or other,28,none,own,2,highly skilled,1,none,yes
...<0 DM,24,Existing Credits,radio/television,1938,... < 100 DM,1,4,male:divorced/separated,none,3,life insurance,32,none,own,1,skilled employee/official,1,none,yes
...<0 DM,24,Existing Credits,used car,2910,... < 100 DM,7,2,male:single,none,1,no property,34,none,free,1,highly skilled,1,yes,yes
...<0 DM,18,Existing Credits,furniture/equipment,2659,.. >= 1000 DM,4,4,male:single,none,2,car or other,28,none,own,1,skilled employee/official,1,none,yes
no checking account,18,Critical,new car,1028,... < 100 DM,4,4,female:divorced/separated/married,none,3,real estate,36,none,own,2,skilled employee/official,1,none,yes
...<0 DM,8,Critical,new car,3398,... < 100 DM,7,1,male:single,none,4,real estate,39,none,own,2,unskilled-resident,1,none,no
no checking account,12,Critical,furniture/equipment,5801,unknown/ no savings account,7+,2,male:single,none,4,life insurance,49,none,rent,1,skilled employee/official,1,yes,yes
no checking account,24,Existing Credits,new car,1525,.. >= 1000 DM,7,4,female:divorced/separated/married,none,3,car or other,34,none,own,1,skilled employee/official,2,yes,yes
... >= 200 DM ,36,Existing Credits,radio/television,4473,... < 100 DM,7+,4,male:single,none,2,car or other,31,none,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,6,Existing Credits,radio/television,1068,... < 100 DM,7+,4,male:single,none,4,car or other,28,none,own,1,skilled employee/official,2,none,yes
...<0 DM,24,Critical,used car,6615,... < 100 DM,unemployed,2,male:single,none,4,no property,75,none,free,2,highly skilled,1,yes,yes
no checking account,18,Critical,education,1864,100 <= ... < 500 DM,4,4,female:divorced/separated/married,none,2,real estate,30,none,own,2,skilled employee/official,1,none,yes
0 <= ...<200 DM,60,Existing Credits,new car,7408,100 <= ... < 500 DM,1,4,female:divorced/separated/married,none,2,life insurance,24,none,own,1,highly skilled,1,none,yes
no checking account,48,Critical,used car,11590,100 <= ... < 500 DM,4,2,female:divorced/separated/married,none,4,car or other,24,bank,rent,2,unskilled-resident,1,none,yes
...<0 DM,24,No Credits,furniture/equipment,4110,... < 100 DM,7+,3,male:single,none,4,no property,23,bank,rent,2,skilled employee/official,2,none,yes
...<0 DM,6,Critical,furniture/equipment,3384,... < 100 DM,4,1,male:divorced/separated,none,4,real estate,44,none,rent,1,highly skilled,1,yes,yes
0 <= ...<200 DM,13,Existing Credits,radio/television,2101,... < 100 DM,1,2,female:divorced/separated/married,guarantor,4,life insurance,23,none,own,1,unskilled-resident,1,none,yes
...<0 DM,15,Existing Credits,domestic appliances,1275,unknown/ no savings account,4,4,female:divorced/separated/married,none,2,car or other,24,none,rent,1,skilled employee/official,1,none,yes
...<0 DM,24,Existing Credits,furniture/equipment,4169,... < 100 DM,4,4,male:single,none,4,life insurance,28,none,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,10,Existing Credits,furniture/equipment,1521,... < 100 DM,4,4,male:divorced/separated,none,2,car or other,31,none,own,1,unskilled-resident,1,none,yes
0 <= ...<200 DM,24,Critical,education,5743,... < 100 DM,1,2,female:divorced/separated/married,none,4,no property,24,none,free,2,skilled employee/official,1,yes,yes
...<0 DM,21,Existing Credits,furniture/equipment,3599,... < 100 DM,7,1,female:divorced/separated/married,none,4,car or other,26,none,rent,1,unskilled-resident,1,none,yes
0 <= ...<200 DM,18,Existing Credits,radio/television,3213,500 <= ... < 1000 DM,1,1,male:married/widowed,none,3,real estate,25,none,rent,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,18,Existing Credits,business,4439,... < 100 DM,7+,1,male:single,co-applicant,1,real estate,33,bank,own,1,highly skilled,1,yes,yes
... >= 200 DM ,10,Existing Credits,new car,3949,... < 100 DM,1,1,male:single,guarantor,1,life insurance,37,none,own,1,unskilled-resident,2,none,yes
no checking account,15,Critical,radio/television,1459,... < 100 DM,4,4,female:divorced/separated/married,none,2,car or other,43,none,own,1,unskilled-resident,1,none,yes
0 <= ...<200 DM,13,Critical,radio/television,882,... < 100 DM,1,4,male:single,guarantor,4,real estate,23,none,own,2,skilled employee/official,1,none,yes
0 <= ...<200 DM,24,Existing Credits,radio/television,3758,500 <= ... < 1000 DM,unemployed,1,female:divorced/separated/married,none,4,no property,23,none,rent,1,unemployed/unskilled-non resident,1,none,yes
no checking account,6,Delay in Past,business,1743,100 <= ... < 500 DM,4,1,male:single,none,2,real estate,34,none,own,2,unskilled-resident,1,none,yes
0 <= ...<200 DM,9,Critical,education,1136,.. >= 1000 DM,7+,4,male:single,none,3,no property,32,none,free,2,skilled employee/official,2,none,yes
no checking account,9,Existing Credits,domestic appliances,1236,... < 100 DM,1,1,female:divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee/official,1,yes,yes
0 <= ...<200 DM,9,Existing Credits,furniture/equipment,959,... < 100 DM,4,1,female:divorced/separated/married,none,2,car or other,29,none,own,1,skilled employee/official,1,none,no
no checking account,18,Critical,used car,3229,unknown/ no savings account,unemployed,2,male:single,none,4,no property,38,none,own,1,highly skilled,1,yes,yes
...<0 DM,12,No Credits,radio/television,6199,... < 100 DM,4,4,male:single,none,2,life insurance,28,none,rent,2,skilled employee/official,1,yes,yes
no checking account,10,Existing Credits,education,727,500 <= ... < 1000 DM,7+,4,male:single,none,4,no property,46,none,free,1,skilled employee/official,1,yes,yes
0 <= ...<200 DM,24,Existing Credits,new car,1246,... < 100 DM,1,4,male:single,none,2,real estate,23,store,own,1,unskilled-resident,1,none,yes
no checking account,12,Critical,radio/television,2331,unknown/ no savings account,7+,1,male:single,co-applicant,4,real estate,49,none,own,1,skilled employee/official,1,yes,yes
no checking account,36,Delay in Past,radio/television,4463,... < 100 DM,4,4,male:single,none,2,car or other,26,none,own,2,highly skilled,1,yes,yes
no checking account,12,Existing Credits,radio/television,776,... < 100 DM,4,4,male:married/widowed,none,2,real estate,28,none,own,1,skilled employee/official,1,none,yes
...<0 DM,30,Existing Credits,furniture/equipment,2406,... < 100 DM,7,4,female:divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,18,Existing Credits,education,1239,unknown/ no savings account,4,4,male:single,none,4,no property,61,none,free,1,skilled employee/official,1,none,yes
... >= 200 DM ,12,Existing Credits,radio/television,3399,unknown/ no savings account,7+,2,male:single,none,3,car or other,37,none,own,1,highly skilled,1,none,yes
... >= 200 DM ,12,Delay in Past,new car,2247,... < 100 DM,4,2,female:divorced/separated/married,none,2,car or other,36,store,own,2,skilled employee/official,1,yes,yes
no checking account,6,Existing Credits,furniture/equipment,1766,... < 100 DM,4,1,male:married/widowed,none,2,life insurance,21,none,rent,1,skilled employee/official,1,none,yes
...<0 DM,18,Existing Credits,furniture/equipment,2473,... < 100 DM,unemployed,4,male:single,none,1,car or other,25,none,own,1,unemployed/unskilled-non resident,1,none,yes
